8000114,Fürth(Bay)Hbf,49.469706,10.989987
8000115,Fulda,50.554722,9.68398
8000116,Traunstein,47.869725,12.638797
8000118,Gelsenkirchen Hbf,51.5049,7.102458
8000119,Geltendorf,48.105773,11.037737
8010361,Waren(Müritz),53.521513,12.680678
8000122,Treuchtlingen,48.961267,10.908158
8000124,Gießen,50.579056,8.661466
8010366,Weimar,50.99149,11.326462
8000127,Göppingen,48.700022,9.651969
8006272,Weil am Rhein,47.593972,7.608415
8000129,Treysa,50.910659,9.185672
8000139,Günzburg,48.460334,10.278652
8000141,Tübingen Hbf,48.515807,9.055409
8000142,Hagen Hbf,51.362744,7.460246
8000147,Hamburg-Harburg,53.455909,9.991698
8000149,Hamm(Westf),51.678077,7.807823
8000150,Hanau Hbf,50.120956,8.929003
8000151,Bad Bentheim(Gr),52.309111,7.039758
8000152,Hannover Hbf,52.376763,9.741016
8000153,Weener(Gr),53.188076,7.214068
8000155,Heide(Holst),54.193564,9.101029
8000156,Heidelberg Hbf,49.403563,8.675444
8002206,Geilenkirchen,50.961034,6.124521
8000159,Helmstedt,52.222086,11.010554
8000162,Herford,52.119609,8.663641
8000163,Tuttlingen,47.98058,8.798542
8010404,Berlin-Spandau,52.53447,13.19753
8010405,Berlin Wannsee,52.421053,13.179336
8010406,Berlin Zoologischer Garten,52.507278,13.331991
8000168,Uelzen,52.969782,10.553057
8000169,Hildesheim Hbf,52.160627,9.953494
8000170,Ulm Hbf,48.399432,9.982224
8000174,Viersen,51.254946,6.403897
8000176,Homburg(Saar)Hbf,49.328081,7.337031
8000177,Horb,48.441475,8.688982
8000181,Husum,54.472275,9.055022
8000182,Immendingen,47.936002,8.729532
8000183,Ingolstadt Hbf,48.744537,11.437335
8000189,Kaiserslautern Hbf,49.43614,7.768711
8012478,Leipzig Messe,51.396148,12.389274
8000191,Karlsruhe Hbf,48.993511,8.402181
8000192,Wanne-Eickel Hbf,51.531256,7.165787
8000194,Kaufbeuren,47.875433,10.629492
8004043,Mittenwald,47.440031,11.265704
8000196,Warburg(Westf),51.492953,9.163846
8000197,Kempten(Allgäu)Hbf,47.711748,10.317611
8000199,Kiel Hbf,54.314982,10.131975
8000206,Koblenz Hbf,50.350927,7.588342
8000207,Köln Hbf,50.943029,6.958729
8004305,Neumarkt(Oberpf),49.27322,11.456985
8000211,Krefeld Hbf,51.325718,6.569883
8000213,Kreiensen,51.851425,9.967796
8000225,Leer(Ostfriesl),53.231647,7.46528
8000226,Lehrte,52.376718,9.974601
8000228,Lichtenfels,50.14645,11.059473
8000230,Lindau Hbf,47.544342,9.680465
8000235,Ludwigsburg,48.891861,9.18542
8000236,Ludwigshafen(Rh)Hbf,49.477985,8.4334
8000237,Lübeck Hbf,53.867543,10.669818
8000238,Lüneburg,53.249652,10.419891
8000240,Mainz Hbf,50.001112,8.258722
8000244,Mannheim Hbf,49.479351,8.468917
8004343,Niebüll,54.789603,8.834571
8000249,Memmingen,47.985578,10.186854
8000250,Wiesbaden Hbf,50.070788,8.243728
8000252,Minden(Westf),52.290134,8.934729
8000253,Mönchengladbach Hbf,51.196579,6.44611
8000257,Worms Hbf,49.634937,8.356444
8000259,Mülheim(Ruhr)Hbf,51.431341,6.88651
8000260,Würzburg Hbf,49.801794,9.935777
8000261,München Hbf,48.140228,11.558338
8000262,München Ost,48.127437,11.604975
8000263,Münster(Westf)Hbf,51.956563,7.635716
8000266,Wuppertal Hbf,51.254361,7.149543
8000271,Neumünster,54.075752,9.979815
8000274,Neuss Hbf,51.204354,6.684522
8000275,Neustadt(Weinstr)Hbf,49.349556,8.140757
8006421,Wiesloch-Walldorf,49.291351,8.664145
8000279,Nienburg(Weser),52.645568,9.217754
8000283,Northeim(Han),51.703139,9.98662
8000284,Nürnberg Hbf,49.445615,11.082989
8000286,Oberhausen Hbf,51.474876,6.851587
8000290,Offenburg,48.476479,7.946724
8000291,Oldenburg(Oldb),53.144325,8.222711
8000294,Osnabrück Hbf,52.272848,8.061777
8000297,Paderborn Hbf,51.712982,8.740508
8000298,Passau Hbf,48.573634,13.450775
8000299,Pforzheim Hbf,48.894154,8.703095
8000301,Plattling,48.779622,12.863941
8000302,Plochingen,48.713084,9.410807
8000306,Rastatt,48.86048,8.215619
8000307,Recklinghausen Hbf,51.616357,7.203487
8000309,Regensburg Hbf,49.011669,12.099615
